,NAME,ZIP,TEL,TYPE,GRADE,LON,LAT,ADDRESS,YELP STAR
1,ORENS DAILY ROAST COFFEES & TEAS,10075,2124726830,Dessert,,-73.958922,40.7752667,"1144 Lexington Ave, New York City",4
2,LUCY'S WHEY,10128,2122898900,American,A,-73.952288,40.783651,"1417 LEXINGTON AVE, New York City",2
3,BOSIE BAKERY,10029,9173658443,QuickMeal,,-73.9404105,40.7929291,"2132 2ND AVE, New York City",4.5
4,CARVEL ICE CREAM,11414,7188433875,Dessert,A,-73.8385257,40.6519527,"16310 CROSSBAY BOULEVARD, New York City",3
5,DUNKIN' DONUTS,10022,2122231177,QuickMeal,A,-73.9631035,40.7576523,"1024 1 AVENUE, New York City",4.5
6,FLEX MUSSELS,10011,2122290222,Seafood,,-73.9996942,40.7374001,"154 WEST   13 STREET, New York City",4
7,JAVA DAY CAFE,11358,7189614444,Dessert,P,-73.8051335,40.7629702,"16009 NORTHERN BOULEVARD, New York City",4
8,TIMES SQUARE DINER & GRILL,10019,2123152400,American,A,-73.9869309,40.7615138,"807 8TH AVE, New York City",5
9,DIVIERA DRIVE,11249,3479874302,Italian,B,-73.958976,40.718322,"131 BERRY ST, New York City",2.5
10,AMMA,10022,2126448330,Asian,A,-73.9687401,40.7555456,"246 EAST   51 STREET, New York City",3.5
11,STEPHANIE'S MEXICAN BAKERY,11368,7184240371,Mexcian,A,-73.860018,40.752453,"3756 108TH ST, New York City",3.5
12,EL TAPATIO MEXICAN RESTAURANT,10029,2128763055,Mexcian,B,-73.9391913,40.7978891,"209 EAST  116 STREET, New York City",4
13,MING GARDEN CHINESE,11367,7185206706,Chinese,,-73.8154509,40.7300534,"7068 KISSENA BLVD, New York City",4
14,LA PUNTILLA BAR & RESTAURANT,11372,7184243836,American,,-73.8753975,40.7508048,"9117 37 AVENUE, New York City",2.5
15,MACONDO,10002,2124739900,American,,-73.9892194,40.7228081,"157 EAST HOUSTON STREET, New York City",5
16,STARBUCKS,10010,2126734213,Dessert,,-73.9783128,40.7364705,"400 EAST 23RD STREET, New York City",4.5
17,UNDERGROUND LOUNGE,11419,7183224144,Mexcian,,-73.820412,40.68725,"10409 123 STREET, New York City",2
18,BRANCACCIO'S FOOD SHOP,11218,7184351997,QuickMeal,,-73.978833,40.64856,"3011 FORT HAMILTON PARKWAY, New York City",4.5
19,TRADER'S EXPRESS DELI,10004,2124820620,American,,-74.0122049,40.7048421,"22 BEAVER STREET, New York City",4
20,EMPIRE EXPRESS CHINESE RESTAURANT,11215,7184993758,Chinese,A,-73.9861433,40.7289468,"319 9TH ST, New York City",5
21,YI HONG RESTAURANT,11236,7182416570,Chinese,A,-73.899778,40.6360412,"9103 AVENUE L, New York City",5
22,THE GRAFTON PUBLIC HOUSE,10009,2122288580,American,A,-73.98526,40.7272178,"126 1 AVENUE, New York City",2.5
23,POLLOS A LA BARASA MARIO,11103,7189322424,American,,-73.9392728,40.8421205,"4019 BROADWAY, New York City",2.5
24,ALBATROSS BAR,11103,7182049707,American,B,-73.9121803,40.7701915,"3619 24TH AVE, New York City",1.5
25,CLOCK WORK,10002,2126774545,American,A,-73.9900975,40.7153605,"21 ESSEX STREET, New York City",1.5
26,MIKES PIZZA,11375,7187933464,QuickMeal,,-73.855048,40.720626,"7175 YELLOWSTONE BOULEVARD, New York City",3.5
27,SHELLEY'S KITCHEN,10016,2126828808,American,A,-73.9793762,40.7507441,"90 PARK AVE, New York City",5
28,MOZZARELLA,11206,7187835555,Other,C,-73.9539154,40.6998102,"264 LEE AVE, New York City",5
29,ALFREDO'S PIZZA,11358,7185390097,Italian,Not Yet Graded,-73.801226,40.771338,"16301 29TH AVE, New York City",4
30,MCDONALD'S,10007,2126082405,American,,-74.0105647,40.7163198,"167 CHAMBERS STREET, New York City",4.5
31,BHATTI INDIAN GRILL,10016,2126834229,Asian,,-73.983076,40.7422281,"100 LEXINGTON AVE, New York City",2
32,FAMOUS BEN'S PIZZA OF SOHO,10012,2129664494,QuickMeal,A,-74.0023824,40.724973,"177 SPRING STREET, New York City",5
33,ESPACE,10036,2129677003,American,,-73.9995588,40.7618116,"635 W 42ND ST, New York City",3
34,ABILENE,11231,7185226900,American,A,-73.9977096,40.6789351,"442 COURT STREET, New York City",4
35,ZHENG FUZHOU CUISINE INC.,10002,9177706686,Chinese,C,-73.9939002,40.7148867,"13B ELDRIDGE ST, New York City",4
36,SUSHI STAR,10018,2122791010,Asian,A,-73.9951541,40.7544247,"462 9TH AVE, New York City",3.5
