NAME,ZIP,URL,LON,LAT,ADDRESS
115th Street,10026,http://www.nypl.org/locations/115th-street,-73.95353074,40.80297988,203 West 115th Street
125th Street,10035,http://www.nypl.org/locations/125th-street,-73.93484756,40.80301816,224 East 125th Street
53rd Street,10019,http://www.nypl.org/locations/53rd-street,-73.97736329,40.76080689,18 West 53rd Street
58th Street,10022,http://www.nypl.org/locations/58th-street,-73.9693817,40.76218602,127 East 58th Street
67th Street,10065,http://www.nypl.org/locations/67th-street,-73.95954995,40.76491501,328 East 67th Street
96th Street,10128,http://www.nypl.org/locations/96th-street,-73.95180567,40.7859598,112 East 96th Street
Aguilar,10029,http://www.nypl.org/locations/aguilar,-73.94345828,40.79421477,174 East 110th Street
Allerton,10467,http://www.nypl.org/locations/allerton,-73.86322248,40.86680443,2740 Barnes Avenue
Andrew Heiskell Braille and Talking Book,10011,http://www.nypl.org/locations/heiskell,-73.99335691,40.74046546,40 West 20th Street
Battery Park City Library,10282,http://www.nypl.org/locations/battery-park-city,-74.01574871,40.71569087,175 North End Avenue
Baychester,10475,http://www.nypl.org/locations/baychester,-73.82931595,40.87075331,2049 Asch Loop North
Belmont Library and Enrico Fermi Cultural Center,10458,http://www.nypl.org/locations/belmont,-73.88788269,40.85434421,610 East 186th Street
Bloomingdale,10025,http://www.nypl.org/locations/bloomingdale,-73.96760677,40.79587355,150 West 100th Street
Bronx Library Center,10458,http://www.nypl.org/locations/bronx-library-center,-73.89450289,40.86298061,310 East Kingsbridge Road
Castle Hill,10473,http://www.nypl.org/locations/castle-hill,-73.8501702,40.82662921,947 Castle Hill Avenue
Chatham Square,10002,http://www.nypl.org/locations/chatham-square,-73.99648987,40.71333307,33 East Broadway
City Island,10464,http://www.nypl.org/locations/city-island,-73.78636659,40.8476919,320 City Island Avenue
Clason's Point,10472,http://www.nypl.org/locations/clasons-point,-73.8750206,40.82999288,1215 Morrison Avenue
Columbus,10019,http://www.nypl.org/locations/columbus,-73.99122082,40.76493462,742 10th Avenue
Countee Cullen,10030,http://www.nypl.org/locations/countee-cullen,-73.94116092,40.81483582,104 West 136th Street
Dongan Hills,10304,http://www.nypl.org/locations/dongan-hills,-74.10113729,40.59039134,1617 Richmond Road
Eastchester,10469,http://www.nypl.org/locations/eastchester,-73.84506428,40.8701397,1385 East Gun Hill Road
Edenwald,10466,http://www.nypl.org/locations/edenwald,-73.84083713,40.8888949,1255 East 233rd Street
Epiphany,10010,http://www.nypl.org/locations/epiphany,-73.98204889,40.73808712,228 East 23rd Street
Fort Washington,10033,http://www.nypl.org/locations/fort-washington,-73.93386591,40.84787004,535 West 179th Street
Francis Martin,10453,http://www.nypl.org/locations/francis-martin,-73.90931635,40.85742189,2150 University Avenue
George Bruce,10027,http://www.nypl.org/locations/george-bruce,-73.95705321,40.81376896,518 West 125th Street
Grand Central,10017,http://www.nypl.org/locations/grand-central,-73.97356772,40.75406788,135 East 46th Street
Grand Concourse,10457,http://www.nypl.org/locations/grand-concourse,-73.91008714,40.84400191,155 East 173rd Street
Great Kills,10308,http://www.nypl.org/locations/great-kills,-74.15111164,40.55242326,56 Giffords Lane
Hamilton Fish Park,10002,http://www.nypl.org/locations/hamilton-fish-park,-73.97942314,40.71978015,415 East Houston Street
