NAME,TEL,URL,ADDRESS1,ZIP,LON,LAT
45th Street Theater,(212) 352-3101,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,354 West 45th Street,10036,-73.99061841,40.75985115
47th Street Theater,(800) 775-1617,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,304 West 47th Street,10036,-73.98810595,40.76047123
59E59 TH Theater,(212) 753-5959,http://www.59e59.org/,59 East 59th Street,10022,-73.9703845,40.76339943
Acorn Theater,(212) 279-4200,http://www.theatrerow.org/theacorn.htm,410 West 42nd Street,10036,-73.99332385,40.75853668
Al Hirschfeld Theater,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,302 W 45th Street,10036,-73.98921433,40.75926091
Ambassador Theatre,(800) 432-7565,http://www.shubertorganization.com/theatres/ambassador.asp,219 West 49th Street,10019,-73.98500141,40.76125861
American Airlines Theatre,(212) 719-9393,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,227 W 42nd Street,10036,-73.98804924,40.75677874
Apollo Theater,(212) 531-5300,http://www.apollotheater.org/,253 West 125th Street,10027,-73.95003984,40.81003732
Arclight Theatre,(212) 595-0355,http://www.nytheatre.com/nytheatre/arclight.htm,152 W 71st St,10023,-73.98121029,40.77711991
Astor Place Theatre,(212) 254-4370,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,434 Lafayette St,10003,-73.99234386,40.72937741
Atlantic Theatre,(212) 645-1242,http://www.atlantictheater.org/,336 W 20th St,10011,-74.00155441,40.74388769
August Wilson Theatre,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,245 W 52nd Street,10019,-73.98419954,40.76337196
Barrow Street Theatre,(212) 243-6262,http://www.barrowstreettheatre.com/index.asp,27 Barrow St,10014,-74.00308826,40.73232948
Beacon Theatre,(212) 465-6500,http://www.beacontheatre.com/,2124 Broadway,10023,-73.98099284,40.78056073
Belasco Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/belasco.asp,111 W 44th St,10036,-73.98378604,40.75665277
Bernard B. Jacobs Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/bernard_b_jacobs.asp,242 W 45th Street,10036,-73.98772366,40.75862947
Bleecker Street Theater,(212) 260-8250,http://www.45bleecker.com/,45 Bleecker Street,10012,-73.99417513,40.72595305
Booth Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/booth.asp,222 W 45th St,10036,-73.98708846,40.75837297
Broadhurst Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadhurst.asp,235 W 44th St,10036,-73.98762266,40.75826441
Broadway Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/broadway.asp,1681 Broadway,10019,-73.98335055,40.7632702
Brooks Atkinson Theatre,(212) 719-4099,http://www.brooksatkinsontheater.com/,256 W 47th St,10036,-73.98698343,40.75995785
Castillo Theater,(212) 941-9400,http://www.castillo.org/,543 West 42nd Street,10036,-73.99696366,40.76060535
Century Center For the Performing Arts,(212) 239-6200,http://www.theatermania.com/new-york/theaters/century-center-for-the-performing-arts_59/,111 E 15th St,10003,-73.98888987,40.73516748
Cherry Lane Theatre,(212) 989-2020?,http://cherrylanetheatre.org/,38 Commerce Street,10014,-74.00531119,40.73126211
Circle In the Square Theatre,(212) 307-0388,http://www.circlesquare.org/,1633 Broadway,10019,-73.98454847,40.76202946
Connelly Theater,(212) 982-2287,http://www.connellycenter.org/theatre.htm,220 E 4th St,10009,-73.98361168,40.72357459
Cort Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/cort.asp,138 W 48th St,10036,-73.98305629,40.75911744
Daryl Roth Theatre,(212) 375-1110,http://www.darylroththeatre.com/,101 E 15th St,10003,-73.98936977,40.7352828
Duke Theatre,(646) 223-3010,http://www.new42.org/duke/duke_home.aspx,229 W. 42nd St,10036,-73.98817225,40.75682251
Ed Sullivan Theater,(212) 975-4321,http://www.newyorkcitytheatre.com/theaters/edsullivantheater/theater.php,1697 Broadway,10019,-73.98289839,40.76380679
Ethel Barrymore Theatre,(212) 944-3700,http://www.shubertorganization.com/theatres/ethel_barrymore.asp,243 West 47th Street,10036,-73.98615678,40.76010048
Eugene O'Neill Theater,(888) VISIT-NY,http://www.ibdb.com/venue.php?id=1158,230 W 49th St,10019,-73.98576311,40.76107756
