NAME,TEL,URL,ADDRESS,ZIP,LAT,LON
O'reilly William & Co Ltd,(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,52 E 76th St,10021,40.77380087,-73.96273075
Organization of Independent Artists - Gallery 402,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,19 Hudson St.,10013,40.71646851,-74.00938579
Owen Gallery,(212) 879-2415,http://www.owengallery.com/about-us,19 E 75th St,10021,40.77400085,-73.96435178
P P O W Gallerie,(212) 647-1044,http://www.ppowgallery.com/,511 W 25th St,10001,40.7495854,-74.00389261
P P O W Inc,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,476 Broome St,10013,40.72290743,-74.0017639
P S 122 Gallery,(212) 228-4249,http://ps122gallery.org/,150 1st Ave,10009,40.72816774,-73.98437148
Pace Editions,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,44 W 18th St,10011,40.73920195,-73.99437671
Pace MacGill Gallery,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,32 E. 57th St.,10022,40.76194965,-73.97202175
Pace Prints & Primitive Gallery,(212) 421-3237,http://www.paceprints.com/,32 E. 57th St.,10022,40.76183647,-73.97211462
Pace Wildenstein,(212) 929-7000,http://www.pacewildenstein.com/,534 W 25th St,10001,40.74944828,-74.00495118
Pace Wildenstein,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,32 E 57th St,10022,40.76188607,-73.97207692
Paige's Art Gallery,(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,3163 Broadway,10027,40.8150007,-73.95927393
PaineWebber Gallery,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,1285 Sixth Ave.,10019,40.76118894,-73.98058387
