NAME,ZIP,TEL,LON,LAT,ADDRESS
"RITE AID OF NEW YORK, INC.",11374,212-791-5795,-73.86273182,40.7294619,63RD DR
"FORTUNE HUT, INC.",11416,7188453445,-73.86125821,40.67993628,101ST AVE
"9TH AVE. ROYAL DELI, INC.",10019,2127656475,-73.98706165,40.76608932,9TH AVE
"721 GOURMET FARM, INC.",10017,6462074613,-73.97296627,40.7527831,3RD AVE
"PATEL, BHIKHUBKAI P.",10003,7183434317,-73.99032932,40.73713256,BROADWAY
OXFORD DELI GROCERY INC,10029,9174424992,-73.94055847,40.78896582,1ST AVE
OMSAI GROCERY INC.,11418,5162213527,-73.81671049,40.70213682,VAN WYCK EXPY
DUANE READE,11201,718-386-6692,-73.99096324,40.69259063,COURT ST
"HIGH RIDGE NEWS, LLC",10463,7185487412,-73.90069848,40.88498681,BROADWAY
"ZAPOLSKI, RICHARD & ZAPOLSKI, DIANE",11378,7188949417,-73.90875031,40.72314521,MASPETH AVE
"JAFRI, SYED",11214,7183728589,-73.98776395,40.59825759,86TH ST
MAYPOLE NYC CORP,11432,7182002069,-73.7832212,40.71280244,HILLSIDE AVE
103 DELI RESTAURANT INC.,11369,9148307211,-73.86582315,40.75851327,103RD ST
"MEAL TICKET FOODS, INC.",11228,718-236-6890,-74.00251061,40.61815249,15TH AVE
"D & R GROCERY, INC.",11228,7187455260,-74.01973668,40.62207313,7TH AVE
A1 DISCOUNT GROCERY INC.,11223,3472253070,-73.96982189,40.59492484,GRAVESEND NECK RD
EDWIN FOOD CORP.,10026,3477969572,-73.94926222,40.79767352,W 111TH ST
SHREE SAI FOOD MART INC.,11375,718-459-4809,-73.84871693,40.72363917,QUEENS BLVD
LAI FU 88 GROCERY INC,11214,347-429-5777,-73.9993158,40.59989963,BATH AVE
DYLAN SUPER BODEGUITA DELI GROCERY CORP,10452,7187150860,-73.92730005,40.83659012,OGDEN AVE
"MANAPO GROCERY, INC.",11210,718-859-9710,-73.93798297,40.63459905,GLENWOOD RD
M & A SMOKE SHOP CORP,11368,3475530501,-73.86922728,40.74918778,ROOSEVELT AVE
PRAMUKH DELI & GROCERY INC.,10011,2129247249,-74.00188747,40.74573774,9TH AVE
Z MART INC,11218,7184360232,-73.96795842,40.63633503,CONEY ISLAND AVE
PRAYOSHA 3192 INC.,11106,3472422996,-73.93159068,40.76534238,21ST ST
"BEGUM NEWSSTAND, INC.",10007,2127662896,-74.00821696,40.71186992,BROADWAY
MARUTI 1859 CORP.,11105,7182040616,-73.91873706,40.7818107,DITMARS BLVD
"TAINO SUNRISE, CORP.",10035,5162397923,-73.93698896,40.80207824,3RD AVE
SABOR CRIOLLO GROCERY CORP,10453,7182999545,-73.90733563,40.84802125,GRAND CONCOURSE
ROYAL DELI INC,10459,6462039956,-73.89686419,40.82256613,INTERVALE AVE
"7-ELEVEN, INC.",10033,212-368-5659,-73.93536288,40.84742555,W 178TH ST
"ALGOFI, YAHYA",10453,347-759-2761,-73.9005495,40.85644459,GRAND CONCOURSE
461 7TH AVENUE MARKET INC.,10001,2127602337,-73.99022257,40.75152053,7TH AVE
JINAL USA LLC,10309,7188153628,-74.23723582,40.53770429,ARTHUR KILL RD
LaGuardia Service LLC,11371,6468383688,,,MAIN TERMINAL
FAMILY EXPRESS 1 DELI & GROCERY INC,11214,6464622285,-73.99020587,40.59504092,25TH AVE
"AHMAD, MIRZA",10032,2122033197,-73.9444241,40.83468109,BROADWAY
CHALOUH ON U INC.,11223,718-627-7270,-73.96372769,40.59801921,AVENUE U
"VAN DAM LN, CORP.",11101,3474103977,-73.93457251,40.7396368,VAN DAM ST
MY DELI GROCERY INC,10034,2125677126,-73.9252569,40.8667092,ACADEMY ST
ROCKY I DELI GROCERY CORP.,11412,7188055962,-73.7566245,40.70619751,HOLLIS AVE
4051 ABINADER GROCERY CORP.,10032,2129235035,-73.93922366,40.84286045,BROADWAY
A & B BUSINESS CORP.,11223,7187145959,-73.97959488,40.59333501,86TH ST
SANA NEWS INC.,10013,3477549507,-74.00297974,40.71812,BROADWAY
MYKONOS FOOD CORP,10457,2018191947,-73.90689283,40.84674735,E 175TH ST
"BROWN, MARK",10003,9173387992,-73.99478981,40.73159668,UNIVERSITY PLACE
"WALGREEN EASTERN CO., INC.",11413,718-426-4182,-73.75007816,40.67925994,MERRICK BLVD
K-N DELI & MARKET INC.,11204,718-837-3264,-73.9824829,40.61978159,20TH AVE
LUCKY DELI MINI MARKET CORP,11412,7187205600,-73.77354457,40.70496945,LIBERTY AVE
"SMALDONE, ALFONSO",11235,718-368-0224,-73.96044217,40.58833722,CONEY ISLAND AVE
SHAMRAT GROUP INC.,10009,9175203159,-73.97925918,40.72355279,AVENUE C
520 Fifth Avenue Foods Inc.,11215,7184990247,-73.9884399,40.66662485,5TH AVE
SANTA GROCERY INC.,10462,7185977368,-73.86683407,40.85047929,CRUGER AVE
"150 MARKET, INC",10038,2125712114,-74.0062545,40.70972913,WILLIAM ST
"MAHANT 404, INC",11217,7188555788,-73.98450975,40.68679573,ATLANTIC AVE
LABORBOX INC.,11209,7187483595,-74.02687054,40.61664249,92ND ST
"J&T SUPERMARKET, INC.",11412,7183411230,-73.76226631,40.6908111,FARMERS BLVD
UPTOWN SERVICE STATION CORP.,10035,2122068099,-73.93379984,40.79818168,1ST AVE
"148 DELI GROCERY, INC.",10039,9179400247,-73.94045415,40.82485304,FREDERICK DOUGLASS BLVD
WOODSIDE DELI & GRILL INC.,11377,3476126292,-73.91822633,40.7360719,48TH ST
"KRISHNA CANDY & GROCERY, INC.",11378,7188945305,-73.90384668,40.72117323,FLUSHING AVE
Z & S DELI & GROCERY CORPORATION,10026,9176787020,-73.94919998,40.80351701,W 118TH ST
204 GROCERY & CONVENIENCE INC.,11211,9177718762,-73.95852237,40.71710524,BEDFORD AVE
359 DELI GROCERY LTD.,11211,7189572186,-73.94452722,40.71533172,GRAHAM AVE
"MONTILLA, RAFAEL E.",10474,7189999999,-73.88855803,40.82019794,GARRISON AVE
HUDSON RETAIL-NEU NEWS LAGUARDIA JV,11371,2015282436,-73.92627904,40.75676726,MAIN TERMINAL
COHLBA SMOKE SHOP & GRILL CORP,11226,347-946-7741,-73.95753817,40.64253213,FLATBUSH AVE
RADFAN INC.,11204,718-284-0001,-73.98501214,40.61732536,20TH AVE
E. TREMONT 99CENTS & MORE CORP.,10461,718-239-3332,-73.84921548,40.84292887,E TREMONT AVE
5910 RAINBOW GROCERY DELI INC.,11234,718-209-5008,-73.91957277,40.63400575,GLENWOOD RD
3700 EXPRESS DELI GROCERY INC.,10467,7186872323,-73.86392219,40.88154864,WHITE PLAINS RD
"NY CIGAR & VAPE, INC",11238,718-213-5994,-73.96399369,40.67902892,WASHINGTON AVE
KEAP ST GOURMET DELI,11211,718-387-1412,-73.95487383,40.70863353,KEAP ST
B & V CONVENIENCE STORE INC.,11428,7187401918,-73.74922201,40.71518173,JAMAICA AVE
NEW YOU ME CORP.,10306,7186442705,-74.11241745,40.56781279,HYLAN BLVD
ALEX DELI GROCERY I INC.,11212,718-773-8288,-73.92305318,40.66523828,SUTTER AVE
NYC BEST GROCERY CORP,10027,7186661764,-73.94630058,40.8066392,LENOX AVE
FAMILY FOOD & DELI CORP,11216,7187892002,-73.95478696,40.68781169,BEDFORD AVE
"MAA TARA GAS, INC.",10468,7182205651,-73.90295201,40.85989672,JEROME AVE
"MYRTLE AVENUE SHOP, INC.",11385,7184978087,-73.91076974,40.69956104,MYRTLE AVE
FRESNO GOURMET DELI CORP.,10009,9173492249,-73.98076059,40.7214835,AVENUE C
