NAME,TEL,URL,ADDRESS,LAT,LON
Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,40.70381622,-74.0137558
Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,40.61512084,-74.06303179
American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,40.8338535,-73.94729769
American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,40.76162497,-73.97810302
American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,40.69905626,-74.03968484
American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,40.78082623,-73.97364816
American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,40.72352659,-74.00701188
Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave.,40.76882423,-73.96597045
Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,40.72112745,-73.99963037
Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,40.76983378,-73.96428396
Audubon Terrace,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,40.83358228,-73.9465459
Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,40.87177832,-73.8055795
Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,40.76288633,-73.82489046
Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,40.87823644,-73.87974874
Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,40.83102978,-73.91975018
Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,40.674507,-73.94401601
Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,40.69480297,-73.9924054
Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,40.67108321,-73.96358507
Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street,40.7478976,-74.00731553
Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,40.78587092,-73.97727392
Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,40.72074947,-73.99883836
Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,40.86492364,-73.93173409
Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,40.57526324,-73.97985598
"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,40.78432574,-73.95778162
Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,40.76210697,-73.9730419
Dia at the Hispanic Society,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street,40.83330211,-73.94649318
Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street,40.74789493,-74.00613538
Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St,40.75750109,-73.98731864
Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,40.72245119,-74.00290417
Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,40.86713092,-73.92383915
East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery,40.7249597,-73.99272306
El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,40.79309892,-73.9513676
Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island,40.69820755,-74.04132162
Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,40.70339928,-74.01133926
Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,40.77105465,-73.96708041
Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,40.61516522,-74.07387774
Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,40.77916564,-73.96174204
Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,40.77611345,-73.94306846
Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,40.85874717,-73.91397963
Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,40.60900867,-74.03231078
Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street,40.83345215,-73.94682282
Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St,40.87835786,-73.89098784
Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St.,40.67557193,-74.01808694
International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas,40.75602115,-73.98383673
Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street,40.76478327,-74.00089181
Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard,40.76695661,-73.93765515
