"","NAME","BORO","ZIP","TEL","TYPE","GRADE","LON","LAT","ADDRESS"
"1","ORENS DAILY ROAST COFFEES & TEAS","MANHATTAN",10075,"2124726830","Dessert","",-73.958922,40.7752667,"1144 Lexington Ave, New York City"
"2","LUCY'S WHEY","MANHATTAN",10128,"2122898900","American","A",-73.952288,40.783651,"1417 LEXINGTON AVE, New York City"
"3","BOSIE BAKERY","MANHATTAN",10029,"9173658443","QuickMeal","",-73.9404105,40.7929291,"2132 2ND AVE, New York City"
"4","CARVEL ICE CREAM","QUEENS",11414,"7188433875","Dessert","A",-73.8385257,40.6519527,"16310 CROSSBAY BOULEVARD, New York City"
"5","DUNKIN' DONUTS","MANHATTAN",10022,"2122231177","QuickMeal","A",-73.9631035,40.7576523,"1024 1 AVENUE, New York City"
"6","FLEX MUSSELS","MANHATTAN",10011,"2122290222","Seafood","",-73.9996942,40.7374001,"154 WEST   13 STREET, New York City"
"7","JAVA DAY CAFE","QUEENS",11358,"7189614444","Dessert","P",-73.8051335,40.7629702,"16009 NORTHERN BOULEVARD, New York City"
"8","TIMES SQUARE DINER & GRILL","MANHATTAN",10019,"2123152400","American","A",-73.9869309,40.7615138,"807 8TH AVE, New York City"
"9","DIVIERA DRIVE","BROOKLYN",11249,"3479874302","Italian","B",-73.958976,40.718322,"131 BERRY ST, New York City"
"10","AMMA","MANHATTAN",10022,"2126448330","Asian","A",-73.9687401,40.7555456,"246 EAST   51 STREET, New York City"
"11","STEPHANIE'S MEXICAN BAKERY","QUEENS",11368,"7184240371","Mexcian","A",-73.860018,40.752453,"3756 108TH ST, New York City"
"12","PRINCE $1 PIZZA","BROOKLYN",11216,"7186384688","QuickMeal","",-73.9497912,40.6802198,"1276 FULTON STREET, New York City"
"13","EL TAPATIO MEXICAN RESTAURANT","MANHATTAN",10029,"2128763055","Mexcian","B",-73.9391913,40.7978891,"209 EAST  116 STREET, New York City"
"14","MING GARDEN CHINESE","QUEENS",11367,"7185206706","Chinese","",-73.8154509,40.7300534,"7068 KISSENA BLVD, New York City"
"15","LA PUNTILLA BAR & RESTAURANT","QUEENS",11372,"7184243836","American","",-73.8753975,40.7508048,"9117 37 AVENUE, New York City"
"16","MACONDO","MANHATTAN",10002,"2124739900","American","",-73.9892194,40.7228081,"157 EAST HOUSTON STREET, New York City"
"17","STARBUCKS","MANHATTAN",10010,"2126734213","Dessert","",-73.9783128,40.7364705,"400 EAST 23RD STREET, New York City"
"18","UNDERGROUND LOUNGE","QUEENS",11419,"7183224144","Mexcian","",-73.820412,40.68725,"10409 123 STREET, New York City"
"20","BRANCACCIO'S FOOD SHOP","BROOKLYN",11218,"7184351997","QuickMeal","",-73.978833,40.64856,"3011 FORT HAMILTON PARKWAY, New York City"
"21","TRADER'S EXPRESS DELI","MANHATTAN",10004,"2124820620","American","",-74.0122049,40.7048421,"22 BEAVER STREET, New York City"
"22","EMPIRE EXPRESS CHINESE RESTAURANT","BROOKLYN",11215,"7184993758","Chinese","A",-73.9861433,40.7289468,"319 9TH ST, New York City"
"23","YI HONG RESTAURANT","BROOKLYN",11236,"7182416570","Chinese","A",-73.899778,40.6360412,"9103 AVENUE L, New York City"
"24","THE GRAFTON PUBLIC HOUSE","MANHATTAN",10009,"2122288580","American","A",-73.98526,40.7272178,"126 1 AVENUE, New York City"
"25","POLLOS A LA BARASA MARIO","QUEENS",11103,"7189322424","American","",-73.9392728,40.8421205,"4019 BROADWAY, New York City"
"26","ALBATROSS BAR","QUEENS",11103,"7182049707","American","B",-73.9121803,40.7701915,"3619 24TH AVE, New York City"
"27","CLOCK WORK","MANHATTAN",10002,"2126774545","American","A",-73.9900975,40.7153605,"21 ESSEX STREET, New York City"
"28","MIKES PIZZA","QUEENS",11375,"7187933464","QuickMeal","",-73.855048,40.720626,"7175 YELLOWSTONE BOULEVARD, New York City"
"29","SHELLEY'S KITCHEN","MANHATTAN",10016,"2126828808","American","A",-73.9793762,40.7507441,"90 PARK AVE, New York City"
"30","CHILLZ RESTAURANT","BRONX",10470,"3473469868","Mexcian","",-73.849358,40.904551,"4744 WHITE PLAINS RD, New York City"
"31","LA FLOR DEL CANARIO RESTAURANT CORP","BROOKLYN",11207,"6468067368","Other","",-73.8902516,40.6729114,"2225 PITKIN AVE, New York City"
"32","MOZZARELLA","BROOKLYN",11206,"7187835555","Other","C",-73.9539154,40.6998102,"264 LEE AVE, New York City"
"33","ALFREDO'S PIZZA","QUEENS",11358,"7185390097","Italian","Not Yet Graded",-73.801226,40.771338,"16301 29TH AVE, New York City"
"34","MCDONALD'S","MANHATTAN",10007,"2126082405","American","",-74.0105647,40.7163198,"167 CHAMBERS STREET, New York City"
"35","MCDONALD'S","MANHATTAN",10023,"2127240435","QuickMeal","A",-73.9825668,40.7779191,"2049 BROADWAY, New York City"
