NAME,GRADE,ADDRESS,ZIPCODE,RATING,PRICE,LAT,LON,CUISINE,TAG,TEL
UNCLE TED'S,B,BLEECKER STREET,10012,4,$$,40.72882,-73.999961,Chinese,chinese lunch rice sauce fried pork,12127771395
M2N BUFFET,A,82 STREET,11373,4,$,40.7471809,-73.8841095,American,cold milk deli friendly half hard,17188032488
TOMMASO RESTAURANT,A,86 STREET,11228,3.5,$$$,40.611598,-74.010337,European,italian brooklyn delicious meal recommend sauce,17182369883
CHUBBY BURGER CHICKEN & PIZZA,A,FULTON ST,11208,1.5,$$,40.6795,-73.885353,QuickMeal,delivery phone bacon called cheese delivered,17182350300
SVG CARIBBEAN BAKERY AND RESTAURANT,A,NOSTRAND AVE,11226,4,$$,40.64651445,-73.9489954,Latin,patties ive taste bite customer establishment,17186931926
STOP & GO DELI,A,WESTCHESTER SQ,10461,4.5,$,40.83993472,-73.84282082,Other,breakfast cooked efficient friendly beat buffetking,17187920683
CHORUS MUSIC STUDIO/ CHORUS KARAOKE LOUNGE BAR,A,WEST   32 STREET,10001,3,$$,40.74789908,-73.98707271,Asian,karaoke drinks songs sing service hour,12129672244
CHANCE,B,SMITH ST,11201,4,$$,40.6842,-73.99192,Asian,drinks chance menu dumplings shrimp friendly,17182421515
JOHNNY'S REEF RESTAURANT,A,CITY ISLAND AVE,10464,4,$$,40.83770996,-73.78267053,Other,fried shrimp delicious fish water island,17188852086
DAISY PIZZA,A,36TH AVE,11106,4.5,,40.75755,-73.93146,Pizza,pizza chicken tacos cooked customer egg,17187867861
NEW LIN'S GARDEN NY,Z,CONCOURSE VLG W,10451,3,$$,40.82437953,-73.92289816,Chinese,dumplings rice chicken filet pork vegetables,17185858386
KIN KHAO THAI KITCHEN,A,AMSTERDAM AVE,10032,4,,40.84079,-73.93648,Asian,thai curry rice delicious lunch flavor,16468337939
LA CUCINA MEXICAN GRILL AND CANTINA BAR,Z,5 AVENUE,11220,3.5,$$,40.6477,-74.0074099,Latin,tacos mexican service price im nice,17189722380
696 GOURMET DELI,Z,3 AVENUE,10017,3,$,40.751987,-73.973922,Other,salad deli lunch xai spot top,12124907115
DAI HING RESTAURANT,A,SUTPHIN BLVD,11435,3,,40.7050699,-73.8091674,Chinese,chinese sauce dusty oil standard table,17185237656
LIN BAKERY & CAFE,A,4TH AVE,11220,5,,40.64213654,-74.01671313,QuickMeal,dish rice noodles served bakery chinese,17187859981
F.L.H. SEAFOOD RESTAURANT,,86 STREET,11214,3,$,40.60472107,-73.99897766,Asian,chinese family dinner lobster lot plate,17189962118
HIGH THAI,A,AVENUE U,11234,3.5,,40.60876,-73.92446,Asian,chicken thai shrimp egg roll basil,17183389700
CARAVAGGIO,A,EAST   74 STREET,10021,3.5,$$$$,40.77345657,-73.96472931,European,service dish special perfect truffle atmosphere,12122881004
LA LONCHERIA,A,WILSON AVE,11237,4.5,$$,40.702921,-73.929105,Latin,tacos happy flavor mexican tortas hour,12127294235
FIFTH AVENUE BINGO,A,5 AVENUE,11215,4.5,,40.67043875,-73.9863058,American,bingo card hall play table experience,17187881691
WB CARIBBEAN RESTAURANT,A,CHURCH AVENUE,11212,4,$,40.65493,-73.91691,Latin,oxtail spot taste wait line lunch,17183421543
SUBWAY,Z,BAY STREET,10301,3,$,40.63866,-74.076034,QuickMeal,salad fish tuna pieces veggies clean,17187271777
STARBUCKS,A,COLUMBUS AVENUE,10024,3,$$,40.783572,-73.974523,Coffee,starbucks coffee service customer visit barista,12127692296
BAGEL BOSS,B,3RD AVE,10016,3,$,40.747267,-73.977369,Other,bagel cheese cream egg ive rainbow,16463681880
GOLDEN BIRD CHINESE RESTAURANT,A,NOSTRAND AVE,11226,2,$,40.645404,-73.948711,Chinese,rice violations chicken chinese shrimp stars,17186938810
FOO-HING KITCHEN,A,SEDGWICK AVE,10468,4,$,40.87503,-73.90139,Chinese,chicken fried chinese sauce delivery pork,17188846267
APPLEBEE'S,A,FULTON STREET,11216,2,$$,40.679983,-73.946504,American,table wait service minutes seating stars,17189438000
SIDE BAR,A,EAST 15 STREET,10003,2.5,$$,40.73467,-73.98859,American,bar drinks bartender service love cheese,12126772900
LOCK YARD,,5TH AVE,11209,4,$$,40.617264,-74.029419,American,bar beer dog wings burger fried,17183335282
POTBELLY SANDWICH WORKS,A,ADAMS STREET,11201,3,$,40.692915,-73.988534,QuickMeal,sandwich potbelly chicken im salad brooklyn,12128971872
Nagoya Fusion Sushi,A,KINGS HWY,11229,3.5,$$,40.61052,-73.954472,Asian,roll sushi delivery delicious nice fresh,17183363688
NINOS RESTAURANT,A,HYLAN BOULEVARD,10305,4.5,$$,40.5982399,-74.0798,European,waiter service sauce xai dinner delicious,17184483838
BAR OMAR,A,GRAND ST,11211,4.5,$$,40.714105,-73.960824,European,chicken couscous friendly dish service delicious,17183880411
Y J FRIED FISH,A,165 STREET,11432,4.5,,40.7075699,-73.79568,Other,fish fried steamed price quality shrimp,17185261202
SIBLING'S POTATO NOODLE,B,ROOSEVELT AVE,11354,4,$,40.75933,-73.8291799,Chinese,noodles potatoes soup spicy flavor bowl,16467076565
PIZZA HAVEN,A,BROADWAY,10034,2.5,$,40.8676342,-73.9209182,Pizza,pizza slice haven service customer delivery,12125693720
SPAIN RESTAURANT & BAR,B,WEST   13 STREET,10011,3.5,$$,40.737159,-73.997917,European,tapas cash service spanish sangria free,12129299580
HAN DYNASTY,A,W 85TH ST,10024,4,$$,40.78752,-73.97647,Chinese,dan dish noodles chicken spicy dry,12128589060
BORINQUENYA DELI RESTAURANT,A,4TH AVE,11220,4,$$,40.6433431,-74.0154664,Latin,chicken rotisserie busy con dinner pick,17185679305
BONAO BAR AND GRILL,,JAMAICA AVENUE,11207,3.5,$$$,40.67903,-73.89584,Latin,drinks nice service spot stars cool,17183460285
BURGER KING,A,MYRTLE AVENUE,11237,2.5,$,40.698585,-73.918609,QuickMeal,burger king called ive meal manager,17184431001
BICKLES 2 GO,,COURTLANDT AVE,10451,4.5,$,40.81902,-73.91855,Latin,chicken cheese jerk rice taste amazing,13479634184
