NAME,TEL,ADDRESS,ZIP,LON,LAT
45th Street Theater,(212) 352-3101,354 West 45th Street,10036,-73.99061841,40.75985115
47th Street Theater,(800) 775-1617,304 West 47th Street,10036,-73.98810595,40.76047123
5.90E+60,(212) 753-5959,59 East 59th Street,10022,-73.9703845,40.76339943
Acorn Theater,(212) 279-4200,410 West 42nd Street,10036,-73.99332385,40.75853668
Al Hirschfeld Theater,(212) 239-6200,302 W 45th Street,10036,-73.98921433,40.75926091
Ambassador Theatre,(800) 432-7565,219 West 49th Street,10019,-73.98500141,40.76125861
American Airlines Theatre,(212) 719-9393,227 W 42nd Street,10036,-73.98804924,40.75677874
Apollo Theater,(212) 531-5300,253 West 125th Street,10027,-73.95003984,40.81003732
Arclight Theatre,(212) 595-0355,152 W 71st St,10023,-73.98121029,40.77711991
Astor Place Theatre,(212) 254-4370,434 Lafayette St,10003,-73.99234386,40.72937741
Atlantic Theatre,(212) 645-1242,336 W 20th St,10011,-74.00155441,40.74388769
August Wilson Theatre,(212) 239-6200,245 W 52nd Street,10019,-73.98419954,40.76337196
Barrow Street Theatre,(212) 243-6262,27 Barrow St,10014,-74.00308826,40.73232948
Beacon Theatre,(212) 465-6500,2124 Broadway,10023,-73.98099284,40.78056073
Belasco Theatre,(212) 944-3700,111 W 44th St,10036,-73.98378604,40.75665277
Bernard B. Jacobs Theatre,(212) 944-3700,242 W 45th Street,10036,-73.98772366,40.75862947
Bleecker Street Theater,(212) 260-8250,45 Bleecker Street,10012,-73.99417513,40.72595305
Booth Theatre,(212) 944-3700,222 W 45th St,10036,-73.98708846,40.75837297
Broadhurst Theatre,(212) 944-3700,235 W 44th St,10036,-73.98762266,40.75826441
Broadway Theatre,(212) 944-3700,1681 Broadway,10019,-73.98335055,40.7632702
Brooks Atkinson Theatre,(212) 719-4099,256 W 47th St,10036,-73.98698343,40.75995785
Castillo Theater,(212) 941-9400,543 West 42nd Street,10036,-73.99696366,40.76060535
Century Center For the Performing Arts,(212) 239-6200,111 E 15th St,10003,-73.98888987,40.73516748
Cherry Lane Theatre,(212) 989-2020¿,38 Commerce Street,10014,-74.00531119,40.73126211
Circle In the Square Theatre,(212) 307-0388,1633 Broadway,10019,-73.98454847,40.76202946
Connelly Theater,(212) 982-2287,220 E 4th St,10009,-73.98361168,40.72357459
Cort Theatre,(212) 944-3700,138 W 48th St,10036,-73.98305629,40.75911744
Daryl Roth Theatre,(212) 375-1110,101 E 15th St,10003,-73.98936977,40.7352828
Duke Theatre,(646) 223-3010,229 W. 42nd St,10036,-73.98817225,40.75682251
Ed Sullivan Theater,(212) 975-4321,1697 Broadway,10019,-73.98289839,40.76380679
Ethel Barrymore Theatre,(212) 944-3700,243 West 47th Street,10036,-73.98615678,40.76010048
Eugene O'Neill Theater,(888) VISIT-NY,230 W 49th St,10019,-73.98576311,40.76107756
Gene Frankel Theatre Workshop,(212) 777-1767,24 Bond St,10012,-73.99363928,40.72667008
Gerald Schoenfeld Theatre,(212) 944-3700,236 W 45th Street,10036,-73.98742769,40.75850593
Gershwin Theatre,(212) 586-6510,222 W 51st St,10019,-73.98515837,40.76242129
Gramercy Arts Theatre,(212) 889-2850,138 E 27th St,10016,-73.98257771,40.74165282
Greenwich Street Theater,(888) VISIT-NY,547 Greenwich St,10013,-74.00862295,40.72729299
Harold Clurman Theater,(888) VISIT-NY,412 W 42nd St,10036,-73.99342334,40.75853551
Helen Hayes Theater,(212) 944-9450,240 W 44th St,10036,-73.98783931,40.7578637
Henry Miller Theatre,(212) 719-1300,124 W 43rd St,10036,-73.98471393,40.75556598
Here Theater,(212) 352-3101,145 6th Avenue,10013,-74.00494631,40.72512759
Hilton Theatre,(212) 556-4750,214 W 43rd Street,10036,-73.98761936,40.75659286
Imperial Theatre,(212) 944-3700,249 W 45th St,10036,-73.98734088,40.75894905
Jane Street Theatre,(212) 924-8404,113 Jane St,10014,-74.00932443,40.7382994
John Golden Theatre,(212) 944-3700,252 W 45th St,10036,-73.98796549,40.75872007
Julia Miles Theater,(212) 757-3900,424 W 55th St,10019,-73.98789903,40.76688568
Kraine Theater,(888) VISIT-NY,85 E 4th Street,10003,-73.98980049,40.7265902
La Mama Experimental Theatre,(212) 475-7710,74A East 4th St,10003,-73.99020242,40.7263277
Lamb's Theatre,(212) 302-7847,130 W 44th St,10036,-73.98458378,40.75649368
Laura Pels Theater,(212) 719-9393,111 W 46th Street,10001,-73.98243996,40.75786783
Lion Theatre,(212) 714-2442,410 W 42nd St,10036,-73.99342997,40.758456
Longacre Theatre,(212) 944-3700,220 W 48th St,10036,-73.98597263,40.76035023
Lucille Lortel Theatre,(212) 924-8782,121 Christopher St,10014,-74.00574435,40.73335633
Lunt-Fontanne Theatre,(212) 575-9200,205 W 46th St,10036,-73.98591873,40.75918096
Lyceum Theatre,(212) 944-3700,149 W 45th St,10036,-73.98452951,40.75777478
Majestic Theatre,(212) 944-3700,245 W 44th St,10036,-73.98801247,40.75841267
Manhattan Ensemble Theatre,(212) 925-1900,55 Mercer St,10013,-74.00120856,40.72198769
Manhattan Theatre Source,(212) 260-4698,177 MacDougal St,10011,-73.99840463,40.73282809
Marquis Theatre,(212) 382-0100,1535 Broadway,10036,-73.98589651,40.75851161
Mazer Theatre,(212) 780-2300,197 E Broadway,10002,-73.98835232,40.71398064
McGinn Cazale Theater,(212) 787-3242,2162 Broadway,10024,-73.98055521,40.7818073
Metropolitan Playhouse,(212) 995-8410,220 E 4th St,10009,-73.98366128,40.72349765
Michael Schimmel Center for the Arts at Pace University,(800) 874-7223,3 Spruce Street,10038,-74.00509728,40.7113565
